,brand,model,year,Energy,gear_box,Trim,price
18380,PEUGEOT,208,2022,Diesel,Manuelle,1.5 BlueHDi 100ch S&S Roadtrip,23490
18381,OPEL,Mokka,2018,Essence,Manuelle,X 1.4 Turbo 140ch Innovation 4x2,17890
18382,OPEL,Corsa,2021,Essence,Manuelle,1.2 Turbo 100ch Elegance,16990
18383,CITROËN,C3,2019,Essence,Manuelle,PureTech 82ch Graphic S&S E6.d,13990
18384,CITROËN,C5 Aircross,2019,Essence,Manuelle,PureTech 130ch S&S Feel,23900
18385,MERCEDES,Classe B,2019,Diesel,Robotisée,180d 116ch Style Line 7G-DCT,26990
18386,IVECO,Daily,2020,Diesel,Manuelle,35S Fg 35S14 V12,34990
18387,FORD,Puma,2020,Essence,Manuelle,1.0 EcoBoost 125ch mHEV ST-Line,24490
18388,TOYOTA,Aygo,2021,Essence,Manuelle,1.0 VVT-i 72ch x-play 5p MY20,12490
18389,RENAULT,Captur,2021,Essence,Manuelle,1.0 TCe 90ch Business -21,17990
18390,FIAT,Panda,2022,Essence,Manuelle,1.0 70ch BSG S&S City Life (Juin2021),13990
18391,RENAULT,Talisman,2020,Diesel,Robotisée,Estate 2.0 Blue dCi 160ch Business Intens EDC E6D-Full,29490
18392,TOYOTA,C-Hr,2019,Hybride,Automatique,122h Graphic 2WD E-CVT RC18,24490
18393,CITROËN,C4,2021,Essence,Automatique,PureTech 130ch S&S Feel Pack Business EAT8,26400
18394,VOLVO,V40,2019,Essence,Manuelle,T2 122 Momentum,19890
18395,MERCEDES,Gla,2018,Diesel,Automatique,220 d 7-G DCT Fascination,31490
18396,PEUGEOT,308,2019,Essence,Manuelle,SW PureTech 110ch S&S BVM6 Style,20499
18397,VOLKSWAGEN,Golf,2020,Diesel,Manuelle,2.0 TDI SCR 115 BVM6 Life 1st,25890
18398,VOLKSWAGEN,Golf,2018,Diesel,Automatique,2.0 TDI 150 FAP DSG7,24990
18399,RENAULT,Espace,2022,Diesel,Robotisée,2.0 Blue dCi 190ch Initiale Paris EDC,58990
18400,CITROËN,Berlingo,2020,Diesel,Automatique,Taille M BlueHDi 130 S&S EAT8 Shine,30490
18401,PEUGEOT,508,2021,Diesel,Automatique,BlueHDi 130 ch S&S EAT8 Allure Pack,31900
18402,PEUGEOT,308,2021,Essence,Manuelle,SW PureTech 130ch S&S BVM6 Allure,21690
18403,MERCEDES,Classe C,2022,Diesel,Automatique,Break 220 d 9G-Tronic AMG Line,59900
18404,MERCEDES,Classe A,2020,Diesel,Automatique,180 d 7G-DCT Progressive Line,26990
18405,MERCEDES,Classe A,2020,Electrique,Automatique,250 e 8G-DCT AMG Line,38990
18406,MERCEDES,Classe Glc,2019,Essence,Automatique,Coupé 63 S AMG 9G-Tronic 4Matic+,77990
18407,MERCEDES,Cla,2021,Essence,Automatique,Coupé 180 7G-DCT AMG Line,34990
18408,MERCEDES,Classe C,2021,Diesel,Automatique,Break 200 d 9G-Tronic AMG Line,43990
18409,MERCEDES,Classe C,2021,Diesel,Automatique,180 d 9G-Tronic AMG Line,38990
18410,MERCEDES,Classe C,2021,Electrique,Automatique,300 e 9G-Tronic AMG Line,47990
18411,MERCEDES,Gla,2018,Diesel,Automatique,200 d 7-G DCT Fascination,31990
