brand,model,year,energy,gear_box,trim,price
PEUGEOT,2008,2021,Essence,Automatique,1.2 PureTech 130ch S&S Allure Pack EAT8,28 479 €
MINI,Mini,2020,Electrique,Automatique,Cooper SE 184ch Edition Greenwich BVA,31 900 €
RENAULT,Megane,2021,Diesel,Automatique,1.5 Blue dCi 115ch Intens EDC - 20,22 500 €
PEUGEOT,308,2021,Diesel,Manuelle,1.5 BlueHDi 130ch S&S Allure,24 990 €
PEUGEOT,208,2019,Essence,Manuelle,1.2 PureTech 100ch S&S GT Line,18 990 €
PEUGEOT,2008,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S Allure EAT8,28 499 €
RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Intens -21,19 700 €
CITROEN,C3,2018,Diesel,Manuelle,BlueHDi 75ch Feel Business S&S,12 590 €
PEUGEOT,308,2020,Essence,Manuelle,1.2 PureTech 130ch E6.3 S&S GT Line,24 590 €
RENAULT,Clio,2020,Diesel,Manuelle,1.5 Blue dCi 85ch Business,15 990 €
PEUGEOT,3008,2019,Diesel,Automatique,1.5 BlueHDi 130ch E6.c Active Business S&S EAT8,24 900 €
PEUGEOT,308,2019,Diesel,Automatique,1.5 BlueHDi 130ch S&S GT Line EAT8,19 062 €
RENAULT,Clio,2020,Diesel,Manuelle,1.5 Blue dCi 85ch Business,15 900 €
PEUGEOT,3008,2019,Essence,Manuelle,1.2 PureTech 130ch E6.c Active S&S,24 290 €
MINI,Mini,2019,Essence,Manuelle,Cooper 136ch Heddon Street Euro6d-T,21 500 €
PEUGEOT,208,2021,Electrique,Automatique,e-208 136ch Style,28 890 €
NISSAN,Qashqai,2018,Diesel,Manuelle,1.6 dCi 130ch N-Connecta 116g,20 990 €
CITROEN,C3,2014,Diesel,Manuelle,1.4 HDi70 Confort,7 490 €
RENAULT,Twingo,2021,Essence,Manuelle,1.0 SCe 65ch Zen E6D-Full,12 490 €
CITROEN,C3,2022,Essence,Manuelle,1.2 PureTech 83ch S&S Shine,17 980 €
PEUGEOT,2008,2020,Essence,Manuelle,1.2 PureTech 100ch S&S Allure 5cv,19 690 €
PEUGEOT,3008,2018,Diesel,Automatique,2.0 BlueHDi 180ch S&S Allure Business EAT8,29 199 €
RENAULT,Twingo,2021,Essence,Manuelle,1.0 SCe 65ch Zen - 21,11 990 €
PEUGEOT,2008,2022,Diesel,Manuelle,1.5 BlueHDi 110ch S&S Roadtrip,28 876 €
CITROEN,C3,2021,Diesel,Manuelle,1.5 BlueHDi 100ch S&S Feel E6.d,13 490 €
RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Business -21,15 490 €
RENAULT,Captur,2020,Diesel,Automatique,1.5 Blue dCi 115ch Intens EDC,23 490 €
CITROEN,C3,2021,Essence,Automatique,1.2 PureTech 110ch S&S Shine EAT6,19 980 €
RENAULT,Kadjar,2020,Diesel,Automatique,1.5 Blue dCi 115ch Intens EDC - 21,24 990 €
RENAULT,Megane,2020,Diesel,Automatique,1.5 Blue dCi 115ch Business EDC,18 980 €
PEUGEOT,208,2021,Diesel,Manuelle,1.5 BlueHDi 100ch S&S GT,24 990 €
RENAULT,Captur,2018,Essence,Automatique,1.3 TCe 150ch energy S-Edition EDC,18 990 €
RENAULT,Megane,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Business,18 990 €
PEUGEOT,3008,2019,Diesel,Manuelle,1.5 BlueHDi 130ch E6.c Active Business S&S,25 390 €
PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 100ch S&S Allure 118g,22 499 €
RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Intens -21,20 490 €
CITROEN,C3,2018,Diesel,Manuelle,BlueHDi 75ch Feel S&S,12 690 €
PEUGEOT,308,2020,Diesel,Automatique,1.5 BlueHDi 130ch S&S Tech Edition EAT8 7cv,24 098 €
PEUGEOT,2008,2022,Diesel,Automatique,1.5 BlueHDi 130ch S&S Roadtrip EAT8 125g,31 427 €
RENAULT,Kadjar,2019,Diesel,Manuelle,1.5 Blue dCi 115ch Business,21 990 €
PEUGEOT,2008,2019,Essence,Automatique,1.2 PureTech 130ch E6.c Allure S&S EAT6 6cv,19 490 €
VOLKSWAGEN,Polo,2019,Essence,Manuelle,1.0 TSI 95ch IQ.Drive Euro6d-T,17 999 €
RENAULT,Megane,2020,Diesel,Manuelle,1.5 Blue dCi 95ch Business,16 980 €
PEUGEOT,2008,2021,Essence,Automatique,1.2 PureTech 130ch S&S Allure Pack EAT8,28 999 €
CITROEN,C3,2018,Essence,Manuelle,PureTech 82ch Graphic S&S E6.d-TEMP,13 480 €
DS,Ds 7 Crossback,2020,Diesel,Automatique,BlueHDi 180ch Performance Line + Automatique,38 989 €
PEUGEOT,208,2021,Essence,Automatique,1.2 PureTech 130ch S&S Allure Business EAT8,24 480 €
RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Intens -21N,18 980 €
PEUGEOT,3008,2021,Diesel,Manuelle,1.5 BlueHDi 130ch S&S Allure Pack,34 780 €
NISSAN,Qashqai,2022,Essence,Manuelle,1.3 DIG-T 140ch Business Edition 2019 Euro6-EVAP,31 990 €
